"SR_LN(R0)","SR_BH_steep","Main_RecrDev_2008"
10.3731,0.628197,-0.205748
10.3742,0.62826,-0.213843
10.3817,0.623903,-0.225936
10.3848,0.626266,-0.244224
10.387,0.625977,-0.239973
10.3984,0.624223,-0.244726
10.4083,0.623414,-0.256989
10.4023,0.622887,-0.256091
10.4174,0.616933,-0.272183
10.416,0.617342,-0.289308
10.408,0.616033,-0.295122
10.3943,0.619297,-0.297629
10.3939,0.61785,-0.304749
10.3938,0.608598,-0.284729
10.4161,0.605824,-0.293581
10.4065,0.605922,-0.291605
10.3997,0.609143,-0.279759
10.3971,0.610631,-0.273006
10.3835,0.617791,-0.273168
10.3899,0.616035,-0.274813
10.3924,0.614731,-0.276384
10.3924,0.615529,-0.288801
10.3802,0.619892,-0.286923
10.3698,0.622524,-0.297348
10.373,0.62302,-0.309057
10.3732,0.625586,-0.308821
10.367,0.627875,-0.301124
10.3687,0.628799,-0.307486
10.3839,0.621543,-0.331902
10.3845,0.624897,-0.333731
10.3763,0.627168,-0.329701
10.3742,0.628358,-0.328408
10.3921,0.616326,-0.301303
10.4083,0.612168,-0.308255
10.4152,0.603957,-0.317131
10.4047,0.606823,-0.342167
10.3993,0.605732,-0.35168
10.4118,0.602958,-0.336199
10.4177,0.605227,-0.344766
10.4173,0.603191,-0.328998
10.4155,0.601214,-0.329547
10.401,0.603424,-0.333417
10.3916,0.609876,-0.337923
10.3859,0.606428,-0.359349
10.3851,0.603077,-0.35917
10.3817,0.606159,-0.352438
10.386,0.610359,-0.339554
10.3887,0.607991,-0.321634
10.3998,0.60592,-0.325543
10.3867,0.611112,-0.317306
10.363,0.620111,-0.319497
10.3579,0.619869,-0.305745
10.3673,0.617279,-0.327485
10.3669,0.615515,-0.322551
10.3711,0.612934,-0.334337
10.3809,0.613584,-0.351059
10.3918,0.60924,-0.361883
10.3916,0.608155,-0.364935
10.3717,0.614621,-0.325227
10.3657,0.615522,-0.323574
10.3793,0.607757,-0.325312
10.3725,0.61379,-0.344473
10.373,0.613106,-0.329358
10.365,0.620018,-0.326578
10.3687,0.621427,-0.336622
10.3686,0.62272,-0.33234
10.3669,0.625258,-0.324071
10.3667,0.625333,-0.31491
10.3777,0.617592,-0.307937
10.364,0.618665,-0.298205
10.3766,0.616219,-0.312212
10.3754,0.619102,-0.309055
10.3843,0.615264,-0.319605
10.3669,0.621745,-0.311932
10.3418,0.630689,-0.326155
10.3386,0.630425,-0.314181
10.3463,0.630172,-0.326161
10.3645,0.624977,-0.331798
10.3766,0.620452,-0.345119
10.3827,0.617474,-0.350291
10.3767,0.6177,-0.343979
10.3725,0.618594,-0.369071
10.3922,0.60902,-0.353366
10.3976,0.606182,-0.358047
10.4017,0.605605,-0.37519
10.404,0.605248,-0.383315
10.4121,0.601466,-0.390354
10.4089,0.6023,-0.398408
10.4132,0.601598,-0.410604
10.4209,0.600536,-0.427853
10.4284,0.60251,-0.423374
10.4313,0.603682,-0.435668
10.4241,0.606777,-0.414015
10.433,0.602622,-0.42116
10.4256,0.603989,-0.422592
10.4251,0.604955,-0.419609
10.4193,0.605954,-0.420755
10.4089,0.608962,-0.411713
10.3992,0.611801,-0.412153
10.394,0.613531,-0.4266
10.4005,0.612294,-0.420304
10.3896,0.615713,-0.412776
10.3955,0.616545,-0.400051
10.3917,0.615985,-0.400239
10.4047,0.607901,-0.392963
10.3994,0.609074,-0.414468
10.403,0.607792,-0.406944
10.4272,0.600629,-0.392956
10.4142,0.606377,-0.397482
10.4136,0.610113,-0.389609
10.4283,0.607368,-0.403746
10.4275,0.607677,-0.407075
10.4366,0.605061,-0.41687
10.4443,0.599209,-0.42677
10.4301,0.607059,-0.420104
10.4241,0.610299,-0.420665
10.4347,0.614687,-0.418591
10.4267,0.611543,-0.413861
10.4301,0.608054,-0.397796
10.4292,0.605401,-0.382266
10.4361,0.60238,-0.382594
10.4386,0.603239,-0.376948
10.4378,0.604005,-0.375121
10.4441,0.604367,-0.358516
10.4381,0.603113,-0.342972
10.4446,0.601713,-0.332269
10.4396,0.603592,-0.332265
10.4372,0.605091,-0.332877
10.4478,0.600359,-0.328092
10.4432,0.606721,-0.335506
10.4503,0.60636,-0.333307
10.447,0.606784,-0.334012
10.4448,0.60505,-0.338158
10.4504,0.607159,-0.340256
10.4483,0.604032,-0.35586
10.4454,0.608807,-0.344417
10.4431,0.606144,-0.350649
10.432,0.605735,-0.32857
10.4375,0.603426,-0.340713
10.4422,0.600173,-0.353014
10.4376,0.60112,-0.349022
10.4289,0.604211,-0.354494
10.4199,0.607075,-0.358931
10.4265,0.60418,-0.365573
10.4127,0.610649,-0.350482
10.4073,0.607678,-0.348702
10.4108,0.603488,-0.35104
10.4189,0.601566,-0.342492
10.4045,0.611142,-0.360172
10.3879,0.615187,-0.36423
10.3917,0.615615,-0.364024
10.3879,0.614715,-0.366125
10.3944,0.614469,-0.368632
10.3937,0.613808,-0.376312
10.3809,0.619321,-0.378464
10.3965,0.612797,-0.359184
10.4096,0.606816,-0.347303
10.4046,0.605433,-0.348086
10.4171,0.60622,-0.349422
10.4185,0.606169,-0.353734
10.4141,0.611672,-0.352737
10.4112,0.612252,-0.368065
10.4145,0.61022,-0.340292
